Annee cohorte E1 E2 Cr Au Pe Po
1994 94-95      
1995 95-96 0,824 0,707 0,5 0,955 0,796 
1996 96-97 0,613 1,016 1 1,105 0,86 0,956
1997 97-98 0,854 0,959 1,158 0,952 1 0,952
1998 98-99 1,119 1,093 0,667 0,876 0,965 0,861
1999 99-00 0,852 0,783 1,444 1,391 1,264 0,667
2000 00-01 1,03 0,869 0,842 1,265 0,979 1,287
2001 01-02 1,067 0,787 0,692 0,957 0,333 1,32
2002 02-03 1,035 1,21 1,149 0,829 1,01 1,124
2003 03-04 0,425 0,35 0,688 0,331 0,298 0,564
2004 04-05 0,881 1,03 0,727 0,499 0,5 0,901
2005 05-06 0,784 0,684 0,91 0,611 0,571 0,832
2006 06-07 0,5 0,24 0,557 0,4 0,5 0,509
2007 07-08 1 1,585 0,25 0,834 0,5 0,62
2008 08-09 0,75 0,988 1 0,714 1 0,888
2009 09-10 0,789 0,444 0 0,5 0,5 0,667
2010 10-11 0,812 1 1,04 1,186 1 0,8
2011 11-12 0,462 0,88 0,23 0,334 0 0,364
2012 12-13 2,325 0,5 1 1 1 1,61
2013 13-14 0,812 0,5 0,5 1 0,667 0,667
2014 14-15 0,724 1,312 0 1 0,5 0,878
2015 15-16 0,867 0,4 0 1 1 0,857
