Année,Enferrets 2,Enferrets 1,Auzils,Portes,Peyrals,Cruzades
1994,NA,253,89,NA,65,NA
1995,151,192,75,10,61,5
1996,161,129,77,7,31,15
1997,206,174,103,19,82,20
1998,243,176,119,37,51,12
1999,134,81,52,41,29,6
2000,149,154,101,40,34,12
2001,235,187,112,45,27,25
2002,182,152,89,29,11,19
2003,317,249,143,46,24,36
2004,149,121,99,25,16,25
2005,297,152,92,36,14,22
2006,351,180,139,92,16,16
2007,83,54,42,24,5,2
2008,na,na,na,na,na,na
2009,140,96,52,28,5,1
2010,90,65,22,19,15,5
2011,84,62,84,18,22,7
2012,141,139,41,42,14,9
2013,180,195,98,60,23,9
2014,76,106,30,25,14,3
2015,90,168,42,31,24,14
2016,82,189,65,31,37,3
2017,29,71,27,10,10,1
2018,27,77,32,6,11,9
2019,101,114,47,18,21,9
2020,103,80,34,18,9,4
2021,155,151,47,25,25,4
2022,82,75,36,9,10,2
2023,20,25,13,4,5,1
2024,19,29,6,4,1,3
2025,97,88,23,30,10,2
