"fs0" "f" "s0"
"F94" 2.875 5.75 0.5
"F95" 3.4 5.2 0.653846153846154
"F96" 9.63636363636364 20.7272727272727 0.464912280701754
"F97" 3.8 8.2 0.463414634146341
"F98" 8 9.5 0.842105263157895
"F99" 9.6 12.4 0.774193548387097
"F00" 20.8 30.7 0.677524429967427
"F01" 8.77777777777778 10.8888888888889 0.806122448979592
"F02" 1.66666666666667 3 0.555555555555556
"F03" 4.88888888888889 8.66666666666667 0.564102564102564
"F04" 1.33333333333333 3.33333333333333 0.4
"F05" 0 6 0
"F06" 1.25 4.25 0.294117647058824
"F07" 3.8 8.2 0.888888888888889
"F08" 3.8 8.2 0.647058823529412
"F09" 3.8 8.2 1
"F10" 3.8 8.2 1
"F11" 0 3 0
"F12" 0 0 NA
"F13" 7 12 0.583333333333333
"F14" 3.8 8.2 NA
"F15" 3.8 8.2 0.791666666666667
"F16" 3.8 8.2 0.8
"F17" 18 25 0.72
"F18" 43 148 0.290540540540541
"F19" 3.8 8.2 0.421052631578947
"F20" 3.8 8.2 0.428571428571429
"F21" 3 5 0.6
"A13" "f_moy" "s0_moy"
"1" 5.35336228144468 8.94562272370742 0.598433719684752
