"fs0" "f" "s0"
"F94" 2 4 0.666666666666667
"F95" 2.25 2.25 1
"F96" 1.22222222222222 11 0.111111111111111
"F97" 3 9.8 0.306122448979592
"F98" 10.6666666666667 16 0.666666666666667
"F99" 9 17 0.529411764705882
"F00" 1.75 3.25 0.538461538461538
"F01" 1.8 3 0.6
"F02" 3 3.66666666666667 0.818181818181818
"F03" 1.5 2.75 0.545454545454545
"F04" 2 6 0.333333333333333
"F05" 2 4 NA
"F06" 0 0 NA
"F07" 3 15 0.2
"F08" 23.5 54 0.435185185185185
"F09" 2 4 0.7
"F10" 2 4 NA
"F11" 0 1.5 0
"F12" 0.5 0.5 1
"F13" 2 4 0
"F14" 3 4 0.75
"F15" 2 4 NA
"F16" 2 4 0.75
"F17" 2 4 NA
"F18" 2 4 NA
"F19" 2 4 0.5
"F20" 2 4 NA
"F21" 2 4 NA
"A13" "f_moy" "s0_moy"
"1" 2.43363222162556 4.72161939011746 0.515423209824842
