"fs0" "f" "s0"
"F94" 5.88888888888889 18 NA
"F95" 2.07692307692308 4.30769230769231 0.482142857142857
"F96" 2.29411764705882 11.2352941176471 0.204188481675393
"F97" 4.28571428571429 14.5714285714286 0.294117647058824
"F98" 8.2 19.6 0.418367346938776
"F99" 0.777777777777778 2.77777777777778 0.28
"F00" 5.88888888888889 29.1111111111111 0.202290076335878
"F01" 13.5 21.75 0.620689655172414
"F02" 9 13 0.692307692307692
"F03" 14.6666666666667 18.5 0.792792792792793
"F04" 5.88888888888889 18 0.75
"F05" 2 20.1666666666667 0.0991735537190083
"F06" 5.5 7.25 0.758620689655172
"F07" 15 77 0.194805194805195
"F08" 9 59.5 0.151260504201681
"F09" 2.5 8.75 0.285714285714286
"F10" 1 7.5 0.133333333333333
"F11" 5.88888888888889 18 0
"F12" 4 5 0.8
"F13" 14 21 0.666666666666667
"F14" 5.88888888888889 18 0.166666666666667
"F15" 0.5 2 0.25
"F16" 47 78 0.602564102564103
"F17" 5.88888888888889 18 0.736842105263158
"F18" 5.88888888888889 18 0.714285714285714
"F19" 5.88888888888889 18 1
"F20" 6.66666666666667 18 0.37037037037037
"F21" 39 62 0.629032258064516
"A13" "f_moy" "s0_moy"
"1" 6.11955253384137 15.66603257663 0.390625546315426
