"fs0" "f" "s0"
"F94" 5.75 9.5 0.605263157894737
"F95" 3.33333333333333 4.66666666666667 0.714285714285714
"F96" 2.66666666666667 11 0.242424242424242
"F97" 2.6 4.2 0.619047619047619
"F98" 6 8 0.75
"F99" 7.33333333333333 11.1666666666667 0.656716417910448
"F00" 7.4 12.2 0.60655737704918
"F01" 19.6666666666667 22.6666666666667 0.867647058823529
"F02" 3.16666666666667 7.33333333333333 1
"F03" 4.33333333333333 6.66666666666667 0.65
"F04" 2.66666666666667 3.33333333333333 0.8
"F05" 2 3.5 0.571428571428571
"F06" 3.16666666666667 7.33333333333333 NA
"F07" 3.16666666666667 7.33333333333333 1
"F08" 0 0.5 0
"F09" 3.16666666666667 7.33333333333333 NA
"F10" 3 3 1
"F11" 3.16666666666667 7.33333333333333 0.6
"F12" 3.16666666666667 7.33333333333333 0
"F13" 3.16666666666667 7.33333333333333 NA
"F14" 1.5 1.5 1
"F15" 3 3 1
"F16" 30 48 0.625
"F17" 11 11 1
"F18" 3.16666666666667 7.33333333333333 0.666666666666667
"F19" 3 11 0.272727272727273
"F20" 3.16666666666667 7.33333333333333 1
"F21" 3.16666666666667 7.33333333333333 NA
"A13" "f_moy" "s0_moy"
"1" 4.55138869938469 6.54277390560541 0.695635943569036
