"fs0" "f" "s0"
"F94" 3.66666666666667 8 0.272727272727273
"F95" 7.66666666666667 18.3333333333333 0.418181818181818
"F96" 7 17 0.411764705882353
"F97" 2.33333333333333 2.83333333333333 0.823529411764706
"F98" 2.66666666666667 5.33333333333333 0.5
"F99" 3.5 6.5 0.538461538461538
"F00" 23 56 0.410714285714286
"F01" 25 31.5 0.793650793650794
"F02" 12.75 18.25 0.698630136986301
"F03" 13.5 27 0.5
"F04" 2.5 6.5 0.384615384615385
"F05" 2 9.75 0.205128205128205
"F06" 1.16666666666667 1.33333333333333 0.875
"F07" 1.5 5.75 0.260869565217391
"F08" 3.66666666666667 27 0.135802469135802
"F09" 5 5.5 0.909090909090909
"F10" 3.66666666666667 8 1
"F11" 3.66666666666667 8 0.08
"F12" 23 30 0.766666666666667
"F13" 2 3 0.666666666666667
"F14" 3.66666666666667 8 0.25
"F15" 1 1 1
"F16" 3.66666666666667 8 0.5
"F17" 6 8 0.75
"F18" 3.66666666666667 8 0.670588235294118
"F19" 3.66666666666667 8 NA
"F20" 3.66666666666667 8 0.245283018867925
"F21" 3.66666666666667 8 0.666666666666667
"A13" "f_moy" "s0_moy"
"1" 4.04086297581902 8.67276964055957 0.465925320663573
