"fs0" "f" "s0"
"F94" 4.5 10.8888888888889 0.413265306122449
"F95" 3.11428571428571 5.91428571428571 0.526570048309179
"F96" 3.77083333333333 12.6666666666667 0.297697368421053
"F97" 3.5 8.89583333333333 0.39344262295082
"F98" 6.75 11.5714285714286 0.583333333333333
"F99" 3.825 6.725 0.568773234200744
"F00" 11.5853658536585 26.7560975609756 0.432999088422972
"F01" 11.8666666666667 15.5333333333333 0.763948497854077
"F02" 6.76470588235294 9.82352941176471 0.688622754491018
"F03" 6.56666666666667 9.96666666666667 0.658862876254181
"F04" 3.75 6.08333333333333 0.616438356164384
"F05" 1.76470588235294 15.4117647058824 0.114503816793893
"F06" 1.90909090909091 3.27272727272727 0.583333333333333
"F07" 5.22222222222222 20.2222222222222 0.258241758241758
"F08" 11.3333333333333 40.8888888888889 0.277173913043478
"F09" 4.83333333333333 11.1666666666667 0.432835820895522
"F10" 5 9.66666666666667 0.517241379310345
"F11" 2.66666666666667 16.6666666666667 0.16
"F12" 15.5 19.3333333333333 0.801724137931034
"F13" 6.42857142857143 12.7142857142857 0.50561797752809
"F14" 3 7.75 0.387096774193548
"F15" 5 6.8 0.735294117647059
"F16" 56 96.5 0.580310880829015
"F17" 17 22 0.772727272727273
"F18" 108 246 0.439024390243902
"F19" 3.75 9 0.416666666666667
"F20" 9.75 31.5 0.30952380952381
"F21" 13.6 20.8 0.653846153846154
"A13" "f_moy" "s0_moy"
"1" 6.64559347014833 14.623716053217 0.454439449314006
