"debut","fin"
2,5
2,5
2,3
2,4
2,5
2,5
2,5
2,5
2,4
2,5
2,4
2,5
2,5
2,5
2,5
2,5
2,4
2,4
2,5
2,4
2,5
2,8
2,5
2,4
2,29
2,5
2,5
2,5
2,6
2,5
2,5
2,5
2,5
2,5
2,8
2,49
2,5
2,6
2,5
2,5
3,4
3,4
3,4
3,4
3,4
3,5
3,5
3,4
3,4
3,5
3,5
3,5
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,5
3,5
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,5
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,5
3,5
3,4
3,4
3,4
3,4
3,4
3,5
3,4
3,4
2,4
2,5
3,5
3,5
4,5
5,6
5,6
7,8
7,12
7,11
7,8
7,9
7,8
7,17
7,18
7,33
7,8
7,8
7,8
7,13
7,12
7,8
7,30
7,8
7,13
7,8
7,11
7,8
7,9
7,8
7,8
7,8
7,8
7,8
7,8
9,10
9,11
11,12
11,37
11,30
11,12
12,13
12,13
15,17
15,17
15,16
19,21
19,20
20,21
20,21
21,22
24,25
27,29
27,29
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,37
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,29
27,29
27,28
27,28
27,28
27,28
27,28
28,29
28,29
28,29
28,29
28,29
28,29
28,30
28,30
31,33
31,38
31,37
31,49
31,33
31,36
31,33
31,33
31,32
31,33
31,37
31,32
36,37
39,41
39,49
39,41
39,41
39,40
39,41
40,41
55,56
55,56
55,56
52,54
52,54
52,54
64,65
71,72
75,77
75,90
75,77
91,93
91,93
2,6
2,5
2,5
2,25
2,17
2,25
2,5
3,4
3,4
3,5
3,5
3,4
3,4
3,4
3,5
2,17
2,9
2,6
2,5
7,8
7,8
7,8
7,8
7,8
7,9
7,8
7,41
7,29
7,9
7,21
7,14
7,8
7,17
7,8
7,8
7,8
7,8
7,8
7,8
7,8
7,8
7,9
7,9
11,17
12,13
12,13
12,13
14,17
15,17
19,20
19,20
19,21
19,21
19,20
19,21
20,21
20,21
22,30
22,37
22,25
22,25
23,24
23,24
23,24
23,25
24,25
27,29
27,28
27,29
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,32
27,28
27,30
27,29
27,29
27,28
27,28
27,28
27,28
27,28
27,28
27,37
27,29
27,28
28,29
28,29
28,30
28,29
28,29
28,29
28,30
28,29
28,30
28,29
28,29
28,29
31,32
31,32
31,37
31,37
31,70
31,49
35,37
36,37
37,38
39,41
39,41
43,45
46,48
60,61
7,37
7,13
7,21
7,13
7,29
7,13
7,11
7,13
7,29
7,21
7,8
7,30
7,9
7,17
7,21
7,13
7,13
7,17
7,22
7,21
7,17
7,25
7,25
7,21
7,21
8,9
11,12
11,16
11,12
11,12
11,12
11,25
12,13
15,25
15,17
15,21
15,16
15,17
15,17
15,17
15,25
15,16
15,33
15,33
15,17
19,20
19,20
19,21
23,24
23,24
23,24
23,25
23,25
23,25
23,25
23,24
23,24
23,24
23,24
23,24
23,25
23,25
23,25
23,25
23,24
23,25
23,24
23,29
23,25
23,25
23,24
23,31
23,26
23,25
23,24
24,25
24,25
27,29
27,30
27,49
27,30
27,53
27,45
27,49
27,37
27,37
27,36
27,29
27,29
27,29
27,29
27,29
27,29
27,29
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,29
27,28
27,41
27,49
27,50
27,49
27,45
27,29
27,62
27,57
27,29
27,30
27,30
27,53
27,30
27,30
27,30
27,30
27,37
27,30
27,54
27,30
27,54
27,30
27,30
27,30
27,30
27,30
27,30
27,49
27,30
27,30
27,30
27,30
27,46
27,30
27,30
27,31
27,48
27,31
27,30
27,45
27,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
27,29
27,29
27,29
27,29
27,29
27,29
27,29
27,29
27,29
27,29
27,29
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,29
27,29
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,50
27,29
27,49
27,57
27,29
27,28
27,45
27,30
28,29
28,29
28,29
28,29
28,29
28,29
28,29
28,29
28,46
28,29
28,29
28,30
28,31
28,29
28,29
28,29
29,30
29,30
29,30
29,30
31,37
31,33
31,33
31,33
31,73
31,37
31,33
31,33
31,33
31,61
31,37
31,37
31,33
31,36
31,33
31,37
31,33
31,33
31,33
31,33
31,35
31,35
31,32
31,33
31,32
31,32
31,32
31,32
31,32
31,32
31,49
31,37
31,32
31,32
31,32
31,32
31,32
31,32
31,32
31,32
31,32
31,49
31,34
31,55
31,37
31,37
31,37
31,50
31,49
31,37
31,33
31,37
31,32
31,32
31,32
31,32
31,32
31,32
31,57
31,39
31,37
31,53
31,37
31,37
31,37
31,37
31,37
31,50
31,41
31,37
31,57
31,37
31,37
31,41
31,35
31,35
31,37
31,37
31,37
31,34
31,34
31,34
31,34
31,34
31,34
31,33
31,33
31,33
31,33
31,33
31,33
31,33
31,33
31,33
31,33
31,33
31,33
31,33
31,33
31,33
31,33
31,37
32,34
32,33
32,33
32,33
32,33
33,37
34,37
34,35
34,61
35,37
35,53
35,37
35,53
35,37
35,37
35,37
35,37
35,37
35,37
35,37
35,37
35,37
35,37
35,36
35,37
35,37
35,36
35,36
35,37
35,36
35,36
35,37
35,37
35,37
35,37
35,36
35,37
35,37
35,36
35,36
35,37
35,37
35,37
35,37
35,37
35,37
35,36
35,36
35,36
35,36
36,37
36,37
36,37
36,37
36,37
36,37
36,37
36,37
36,37
36,37
36,37
36,37
36,37
36,37
36,37
36,37
36,37
36,37
36,37
36,37
36,37
36,37
36,37
36,37
36,37
39,42
39,45
39,41
39,40
39,40
39,40
39,40
39,40
39,40
39,41
39,41
39,41
39,41
39,41
39,40
39,40
39,41
39,40
39,40
39,40
39,41
39,40
39,40
39,46
39,41
39,42
39,49
39,40
39,40
39,40
39,40
39,40
39,41
39,40
39,40
39,40
39,40
39,40
39,40
40,41
40,41
40,41
40,41
40,41
41,42
43,49
43,45
43,44
43,44
43,44
43,45
43,45
43,44
43,44
43,44
43,44
43,44
46,47
46,47
46,47
46,47
46,47
46,48
46,47
46,47
46,47
46,47
46,47
46,47
46,47
46,47
46,47
46,47
47,49
47,49
47,48
47,49
47,48
47,48
47,48
47,48
47,48
47,48
47,48
