"","Individu","Pop","Quadrat","Plante","year","Age","Size0Mars","Size1Mars","Size0Juin","Size1Juin","Survie","Flowering","Capitule"
"1",1,"Po","26","1","1995",NA,14.5,0,11.5,0,0,1,NA
"2",2,"Po","26","2","1995",NA,12.5,0,9.5,0,0,1,NA
"3",3,"Po","26","5","1995",NA,2.5,0,2.5,0,0,0,0
"4",4,"Po","26","6","1995",NA,4,0,4,0,0,0,0
"5",5,"Po","26","7","1995",NA,3,0,2.5,0,0,0,0
"6",6,"Po","26","8","1995",NA,3,0,2.5,0,0,0,0
"7",7,"Po","26","10","1995",NA,2.5,0,2.5,0,0,0,0
"8",8,"Po","26","12","1995",NA,2,0,1,0,0,0,0
"9",9,"Po","26","13","1995",NA,3,0,3,0,0,0,0
"10",10,"Po","26","14","1995",NA,5,0,6,0,0,0,0
"11",11,"Po","26","15","1995",NA,3.5,0,3.5,0,0,0,0
"12",12,"Po","26","16","1995",NA,5.5,0,8,0,0,0,0
"13",13,"Po","26","19","1995",NA,3,0,4,0,0,0,0
"14",14,"Po","26","21","1995",NA,3.5,0,3.5,0,0,0,0
"15",15,"Po","26","22","1995",NA,4,0,4,0,0,0,0
"16",16,"Po","26","23","1995",NA,3,0,3,0,0,0,0
"17",17,"Po","26","25","1995",NA,5,3.5,6.5,6.5,1,0,0
"18",17,"Po","26","25","1996",NA,3.5,3.5,6.5,7,1,0,0
"19",17,"Po","26","25","1997",NA,3.5,6,7,7,1,0,0
"20",17,"Po","26","25","1998",NA,6,4,7,10,1,0,0
"21",17,"Po","26","25","1999",NA,4,10,10,13.5,1,0,0
"22",17,"Po","26","25","2000",NA,10,7,13.5,10,1,0,0
"23",17,"Po","26","25","2001",NA,7,0,10,0,0,1,15
"24",18,"Po","26","26","1995",NA,2.5,0,4.5,0,0,0,0
"25",19,"Po","26","27","1995",NA,1.5,0,2.5,0,0,0,0
"26",20,"Po","26","28","1995",NA,3,0,3.5,0,0,0,0
"27",21,"Po","26","29","1995",NA,3.5,0,3,0,0,0,0
"28",22,"Po","26","30","1995",NA,2,0,0.5,0,0,0,0
"29",23,"Po","26","31","1995",NA,4,0,5,0,0,0,0
"30",24,"Po","26","32","1995",NA,3,0,1.5,0,0,0,0
"31",25,"Po","26","33","1995",NA,1,0,0.5,0,0,0,0
"32",26,"Po","26","34","1995",NA,3,0,3,0,0,0,0
"33",27,"Po","26","35","1995",NA,3.5,0,3.5,0,0,0,0
"34",28,"Po","26","36","1995",NA,4,5,4,6.5,1,0,0
"35",28,"Po","26","36","1996",NA,5,5.5,6.5,7,1,0,0
"36",28,"Po","26","36","1997",NA,5.5,6.5,7,9,1,0,0
"37",28,"Po","26","36","1998",NA,6.5,6,9,8,1,0,0
"38",28,"Po","26","36","1999",NA,6,9.5,8,11,1,0,0
"39",28,"Po","26","36","2000",NA,9.5,8,11,10.5,1,0,0
"40",28,"Po","26","36","2001",NA,8,5,10.5,12,1,0,0
"41",28,"Po","26","36","2002",NA,5,10,12,14.5,1,0,0
"42",28,"Po","26","36","2003",NA,10,9,14.5,12,1,0,0
"43",28,"Po","26","36","2004",NA,9,6,12,15,1,0,0
"44",28,"Po","26","36","2005",NA,6,8,15,10,1,0,0
"45",28,"Po","26","36","2006",NA,8,0,10,0,0,1,NA
"46",29,"Po","26","37","1995",NA,6,0,4,0,0,0,0
"47",30,"Po","26","38","1995",NA,8,0,9,0,0,0,0
"48",31,"Po","26","39","1995",NA,6,0,4.5,0,0,0,0
"49",32,"Po","26","40","1995",NA,9,0,10,0,0,0,0
"50",33,"Po","26","46","1995",1,1,0,2,0,0,0,0
"51",34,"Po","26","47","1995",1,0.5,0,1.5,0,0,0,0
"52",35,"Po","26","50","1995",1,1,0,1.5,0,0,0,0
"53",36,"Po","26","51","1995",1,0.5,0,2,0,0,0,0
"54",37,"Po","26","52","1995",1,0.5,0,1,0,0,0,0
"55",38,"Po","26","61","1995",1,1,0,1,0,0,0,0
"56",39,"Po","26","62","1995",1,1,0,2,0,0,0,0
"57",40,"Po","26","73","1995",1,1,0,1.5,0,0,0,0
"58",41,"Po","26","84","1995",1,1.5,0,1.5,0,0,0,0
"59",42,"Po","26","85","1995",1,0.5,0,0.5,0,0,0,0
"60",43,"Po","26","91","1995",1,0.5,0,0.5,0,0,0,0
"61",44,"Po","26","95","1995",NA,3.5,0,1.5,0,0,0,0
"62",45,"Po","26","96","1995",1,2,0,1.5,0,0,0,0
"63",46,"Po","26","97","1995",1,1.5,0,1,0,0,0,0
"64",47,"Po","26","99","1995",1,NA,0,0.5,0,0,0,0
"65",48,"Po","26","100","1995",1,NA,0,0.5,0,0,0,0
"66",49,"Po","26","102","1996",1,1,0,1.5,0,0,0,0
"67",50,"Po","26","103","1996",1,1,0,1.5,0,0,0,0
"68",51,"Po","26","105","1996",1,2,0,1,0,0,0,0
"69",52,"Po","26","107","1996",1,1.5,3.5,2,4.5,1,0,0
"70",52,"Po","26","107","1997",2,3.5,2,4.5,2,1,0,0
"71",52,"Po","26","107","1998",3,2,0,2,0,0,0,0
"72",53,"Po","26","108","1996",1,2.5,4.5,2,5.5,1,0,0
"73",53,"Po","26","108","1997",2,4.5,5,5.5,5.5,1,0,0
"74",53,"Po","26","108","1998",3,5,0,5.5,0,0,0,0
"75",54,"Po","26","109","1996",1,2,5,2,5.5,1,0,0
"76",54,"Po","26","109","1997",2,5,5.5,5.5,6,1,0,0
"77",54,"Po","26","109","1998",3,5.5,5,6,10,1,0,0
"78",54,"Po","26","109","1999",4,5,10,10,14,1,0,0
"79",54,"Po","26","109","2000",5,10,10,14,13.5,1,0,0
"80",54,"Po","26","109","2001",6,10,11,13.5,12,1,0,0
"81",54,"Po","26","109","2002",7,11,0,12,0,0,1,31
"82",55,"Po","26","113","1996",1,0.5,3,3,2,1,0,0
"83",55,"Po","26","113","1997",2,3,0,2,0,0,0,0
"84",56,"Po","26","114","1996",1,0.5,0,2,0,0,0,0
"85",57,"Po","26","116","1996",1,1.5,4,2.5,4.5,1,0,0
"86",57,"Po","26","116","1997",2,4,4.5,4.5,5,1,0,0
"87",57,"Po","26","116","1998",3,4.5,4,5,5,1,0,0
"88",57,"Po","26","116","1999",4,4,3,5,4,1,0,0
"89",57,"Po","26","116","2000",5,3,3.5,4,4,1,0,0
